,pid,n_ica,interval,block_number,workload,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio
152,19,0,14.0,7,high,11.34348007649283,14.03713515415503,39.15423563502568,0.8081050692979279,2.7893323819309326
153,19,0,15.0,7,low,8.214870526143136,12.535140797568822,26.227258523301103,0.6553472879807143,2.0922986783194215
154,19,0,16.0,7,high,7.149712526836736,9.742029344562251,19.634804157558943,0.7339038175683099,2.0154737235028533
155,19,0,17.0,7,low,6.847884217257277,10.5038407132146,14.58008755000054,0.6519409808492371,1.3880720346089905
156,19,0,18.0,7,high,4.4603516704961255,9.523399018981333,14.021986431540892,0.4683571130019947,1.4723720389740373
157,19,0,19.0,7,low,20.573382222350318,16.811514190143757,44.00896446613733,1.223767353116358,2.6177870695275547
158,20,0,0.0,6,high,11.791815035111473,17.70231914466164,44.93416521097616,0.6661169612156408,2.538320817954897
159,20,0,1.0,6,low,13.464979753287249,9.323250662975632,17.624245958649464,1.4442365908662305,1.8903541903725312
160,20,0,2.0,6,high,10.530310842586976,8.744856118771803,19.192603081147382,1.2041719954639958,2.1947305730906574
161,20,0,3.0,6,low,7.986952061788476,10.881648730016565,20.658506988826865,0.7339836324395226,1.8984721434575675
162,20,0,4.0,6,high,11.620272762832277,11.024767668870123,27.942729218639432,1.0540152057483843,2.534541321676954
163,20,0,5.0,6,low,8.448500292383619,7.5398800319590835,14.275548245907805,1.120508583236496,1.8933389106190588
164,20,0,6.0,6,high,6.8038994358635785,8.0651949499972,14.63075173886723,0.8436125199758426,1.8140605192528307
165,20,0,7.0,7,low,8.09739753832665,8.739302982147493,17.115098362935953,0.926549583515743,1.9584054240822637
166,20,0,8.0,7,high,6.34506745799508,6.669168508620262,12.662115058748453,0.9514030796783342,1.8986047574569427
167,20,0,9.0,7,low,6.19431096310639,7.759159680134668,15.156857852587564,0.7983223981026359,1.9534148641627775
168,20,0,10.0,7,high,6.7819205868439445,7.4499582272836875,12.72157391241677,0.9103300152753588,1.70760338840922
169,20,0,11.0,7,low,5.925643083612369,7.767854321629883,13.416753596262081,0.7628416855234001,1.7272148833819687
170,22,0,0.0,6,high,5.926086608361532,7.570127279309878,15.597917870330374,0.7828252273324758,2.0604564883554164
171,22,0,1.0,6,low,12.899461892233816,14.873815810552395,44.016588144507324,0.8672597574512216,2.9593339533813015
172,22,0,2.0,6,high,16.357878742134723,19.026727576052508,52.248921203327235,0.859731589510071,2.7460802702136213
173,22,0,3.0,6,low,11.739455819110912,14.393901960641092,37.80632353481584,0.815585367415414,2.626551413104941
174,22,0,4.0,6,high,10.756527318657247,13.656222564371728,30.459460622736287,0.7876649101136054,2.2304455334671545
175,22,0,5.0,6,low,4.381095488831652,7.263235707275782,8.876613163057494,0.6031878442885984,1.222129298952194
176,22,0,6.0,6,high,26.953171171485543,28.362184945934846,75.55821444163566,0.9503206901324696,2.6640477306550183
177,22,0,7.0,7,low,3.612193017192771,6.256258288926265,7.76030706926242,0.5773727442785481,1.2404070789401964
178,22,0,8.0,7,high,8.309420114556675,11.475369813033609,20.150253882864792,0.7241091354736925,1.7559568197948914
179,22,0,9.0,7,low,6.404687683616142,9.170109359351033,16.221834111441446,0.698430894620149,1.7689902569045766
180,22,0,10.0,7,high,12.045003388177264,13.92050456355015,37.69409133309252,0.8652706037478158,2.707810709088219
181,22,0,11.0,7,low,6.435145604763979,6.744155380993237,14.986729138410494,0.9541811007053415,2.2221802867482783
182,23,0,0.0,6,low,-194.70854401124737,-198.80386891251314,-762.6684601509932,0.979400175038505,3.836285804310065
183,23,0,1.0,6,high,29.267466446081674,8.55843460146016,18.78235409825878,3.419721924508056,2.1946015799494814
184,23,0,2.0,6,low,4.508423928513906,4.839729979544833,8.504409996613132,0.9315445174769678,1.7572075368991877
185,23,0,3.0,6,high,5.833027709501681,5.586083739948987,9.583418776644729,1.0442069938527183,1.7155880976342555
186,23,0,4.0,6,low,5.02971766001676,4.479364956649619,8.334251518763402,1.1228640016371387,1.8605877394274832
187,23,0,5.0,6,high,4.5352601515030395,4.390972745537262,5.353585614553864,1.0328600094620088,1.2192254256178081
188,23,0,6.0,6,low,4.594114526035283,4.501069836427403,6.722924288287539,1.0206716831751563,1.4936280779024014
189,23,0,7.0,6,high,4.652886610930569,4.687330593392684,6.835749537770166,0.9926516848394121,1.45834593945772
190,23,0,8.0,6,low,10.552300024546678,19.1091988845374,41.57888334330237,0.552210487122267,2.1758569574021642
191,23,0,9.0,7,high,-239.63528328247693,-198.74093708004185,-764.7506657337142,1.2057670996386876,3.8479775579689197
192,23,0,10.0,7,low,5.816005910533936,5.691670831608767,8.184783878772853,1.0218450930497724,1.4380283261144602
193,23,0,11.0,7,high,5.357054166990608,5.257055029090102,6.6692247261878865,1.019021892931909,1.268623723602567
194,23,0,12.0,7,low,4.444960563141982,5.1825040837210015,4.572553683698787,0.8576858775865221,0.882305852505132
195,23,0,13.0,7,high,4.597511215632415,5.696896017643474,6.072467252761589,0.8070203846785639,1.0659255906997351
196,23,0,14.0,7,low,3.9452626466956215,5.190173713704983,5.637138140508978,0.7601407706793908,1.0861174310262018
